1	1	0.0634949	0	1	1.02842	0.18982	0.993461	8.324105
1	2	0.0635212	1	2	1.02724	0.192547	0.990964	0.0760874
6	1	0.0659992	2	0	0.221076	0.891577	0.235274	0.035985
6	2	0.0661599	1	2	0.230171	0.92385	0.217387	0.320015
16	1	0.0740869	2	0	-0.822651	-0.00817114	-2.19544	0.033164
16	2	0.0742388	1	4	-0.81283	-0.0618157	-2.21859	0.0585528
16	2	0.0743558	1	4	-0.772956	-0.0646683	-2.20209	0.0529151
16	2	0.0744501	1	2	-0.77427	-0.0813509	-2.19117	0.211368
17	1	0.0650772	0	1	0.705376	0.0233866	0.503121	0.00013421
17	2	0.0650785	1	2	0.705432	0.0233847	0.503113	0.00500648
21	1	0.0699892	0	1	0.0876114	-0.0893821	-0.981867	0.00013421
21	2	0.0700376	1	2	0.0910482	-0.0933207	-0.988712	0.123889
22	1	0.0609001	0	1	0.324608	0.384751	1.74956	1.827105
22	2	0.0609822	1	2	0.329369	0.386018	1.73345	0.189627
23	1	0.0706881	0	0	0.553958	0.624705	-1.1753	0.035985
23	2	0.0708488	1	2	0.557207	0.595184	-1.19901	0.320015
26	1	0.0627453	0	0	0.203891	-0.811542	1.20805	0.035985
26	2	0.0628874	1	3	0.241081	-0.819085	1.17393	0.036409
26	2	0.0629601	1	2	0.249295	-0.829975	1.16907	0.17212
26	3	0.0669389	0	0	1.43179	-0.960357	0.980111	0.033164
26	4	0.0669661	1	2	1.43474	-0.963039	0.979369	0.0783216
28	1	0.0653741	0	0	0.150701	-0.0377429	0.401963	0.0056849
28	2	0.0655546	1	2	0.151866	-0.0553447	0.36213	0.350315
34	1	0.0717182	0	0	0.19776	-0.942316	-1.479	0.033164
34	2	0.0718808	1	2	0.190453	-0.955839	-1.51432	0.322836
44	1	0.312179	0	1	-14.8465	10.2937	-2.33536	8.324105
44	1	0.314257	0	0	-14.8468	10.9076	-2.23049	0.035985
44	5	0.314291	1	2	-14.8468	10.9122	-2.23363	0.095069
44	4	0.312189	1	2	-14.8469	10.2931	-2.33461	0.032449
46	1	0.0707333	0	0	3.01575	2.83509	1.18248	0.0056849
46	3	0.070859	1	2	3.02854	2.84375	1.15874	0.264483
